race_id,district_pres_margin_dem,state,boundary_compatibility,include_in_2022_backtest,district_pres_margin_dem_2022_ready,presidential_result_year,boundary_cycle,source_type,source_local_path,methodology_note
AK-AL,-10.0,AK,same_as_2022_assumed,True,-10.0,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
AL-1,-30.199999999999996,AL,different_from_2022_withheld,False,,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
AL-2,-11.799999999999995,AL,different_from_2022_withheld,False,,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
AL-3,-40.10000000000001,AL,different_from_2022_withheld,False,,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
AL-4,-63.7,AL,different_from_2022_withheld,False,,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
AL-5,-27.1,AL,different_from_2022_withheld,False,,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
AL-6,-34.60000000000001,AL,different_from_2022_withheld,False,,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
AL-7,30.300000000000004,AL,different_from_2022_withheld,False,,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
AR-1,-40.9,AR,same_as_2022_assumed,True,-40.9,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
AR-2,-13.1,AR,same_as_2022_assumed,True,-13.1,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
AR-3,-23.40000000000001,AR,same_as_2022_assumed,True,-23.40000000000001,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
AR-4,-35.2,AR,same_as_2022_assumed,True,-35.2,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
AZ-1,1.5,AZ,same_as_2022_assumed,True,1.5,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
AZ-2,-7.900000000000006,AZ,same_as_2022_assumed,True,-7.900000000000006,2020,2022,Existing manually curated House production input,inputs/house_race_inputs.csv,2020 Democratic presidential margin copied from the existing House production input. Values are withheld for states that changed congressional boundaries after the 2022 election.
